File	Size	md5sum	Download_link
MG_CTRL_1_1.fastq.gz	2,444,909,521	592e058bac5636f2bc1c8a71aa1a9c00	https://data.macrogen.com/~macro5/RNA_Seq/202405/HN00000001/MG_CTRL_1_1.fastq.gz
MG_CTRL_1_2.fastq.gz	2,620,304,285	c054c2fdf638513a1131ee2f8b5e7d8c	https://data.macrogen.com/~macro5/RNA_Seq/202405/HN00000001/MG_CTRL_1_2.fastq.gz
MG_CTRL_2_1.fastq.gz	3,629,139,349	9ccfbe41aaa3dfb0e3ed80d056502b35	https://data.macrogen.com/~macro5/RNA_Seq/202405/HN00000001/MG_CTRL_2_1.fastq.gz
MG_CTRL_2_2.fastq.gz	3,855,879,272	55d93f6122f18753e25f2d580faa4370	https://data.macrogen.com/~macro5/RNA_Seq/202405/HN00000001/MG_CTRL_2_2.fastq.gz
MG_CTRL_3_1.fastq.gz	3,439,712,778	44d3d1c41fd5fe9f44c85918e88a4528	https://data.macrogen.com/~macro5/RNA_Seq/202405/HN00000001/MG_CTRL_3_1.fastq.gz
MG_CTRL_3_2.fastq.gz	3,624,720,560	7551866844b7550a77f4bf3f05ff52e6	https://data.macrogen.com/~macro5/RNA_Seq/202405/HN00000001/MG_CTRL_3_2.fastq.gz
MG_TEST_1_1.fastq.gz	2,732,607,490	7bf1ecf6b9af5599d2f999e249355fed	https://data.macrogen.com/~macro5/RNA_Seq/202405/HN00000001/MG_TEST_1_1.fastq.gz
MG_TEST_1_2.fastq.gz	2,829,469,194	c1d9f4fb691f6125f3b69f8eee4654c4	https://data.macrogen.com/~macro5/RNA_Seq/202405/HN00000001/MG_TEST_1_2.fastq.gz
MG_TEST_2_1.fastq.gz	2,754,386,870	b8f744f026ab72839391e66d4fd2eb66	https://data.macrogen.com/~macro5/RNA_Seq/202405/HN00000001/MG_TEST_2_1.fastq.gz
MG_TEST_2_2.fastq.gz	2,932,398,176	b54c80cb756b2c350e90850b3a2a949e	https://data.macrogen.com/~macro5/RNA_Seq/202405/HN00000001/MG_TEST_2_2.fastq.gz
MG_TEST_3_1.fastq.gz	2,414,122,866	fdba27d43839f434c03c1ccf77908f8a	https://data.macrogen.com/~macro5/RNA_Seq/202405/HN00000001/MG_TEST_3_1.fastq.gz
MG_TEST_3_2.fastq.gz	2,592,856,187	9e0d85eaa3dbdcf7ee051225869185da	https://data.macrogen.com/~macro5/RNA_Seq/202405/HN00000001/MG_TEST_3_2.fastq.gz
