File	Size	md5sum	Download_link
Sample1_1.fastq.gz	3.6G	44f43d3e3866511fb4b7a7ccce0926cb	-
Sample1_2.fastq.gz	3.8G	9ef04f4e2a8cfa5ab70823d9da549170	-
Sample1_trim_1.fastq.gz	3.0G	690dd71fecff616e2cb35dbb361acee4	-
Sample1_trim_2.fastq.gz	3.1G	0396e327b3d0800798bacba4b28b15c7	-
Sample2_1.fastq.gz	3.8G	9a526eafd640c8f320f7d5d32eb79cd1	-
Sample2_2.fastq.gz	3.9G	f2699fe5280fa2323067c8e6832f72be	-
Sample2_trim_1.fastq.gz	3.1G	8208832d60b6bb956b123009855b3738	-
Sample2_trim_2.fastq.gz	3.2G	4cf4bfe5a019135e58c0a140e6aa4db3	-
Sample1_Analysis_Result.zip	7.0G	8bfb0a5a2eb1c2bdbf2e6f86b0197575	-
Sample2_Analysis_Result.zip	8.0G	7bd201326444f7c6d67736cdd76e2adf	-
