File	Size	md5sum	Download_link
Sample1_analysis_result.zip	767,000,000	925683167c3508b4003e0d3213dbb704	-
Sample1_R1.fastq.gz	31,000,000,000	4638d943735c23f09693cb5d7fcae08f	-
Sample1_R2.fastq.gz	31,000,000,000	febb5190446db5be016e629acc0e7873	-
Sample1_sorted.bam	52,000,000,000	5866e92d0fd42dd189422259e5e99bb6	-
Sample1_sorted.bam.bai	7,000,000	3afd5d7affbb9521c80e2e67c2fe19b7	-
Sample1_sorted.genome.vcf.gz	488,000,000	1408b1d1e0651caff9fb0147535c1c9c	-
Sample1_sorted.genome.vcf.gz.tbi	613,000	6465ef5f7696660314988b55181f0e83	-
Sample2_analysis_result.zip	781,000,000	022dfe2b67cbac6dd662c226a5d8ba4b	-
Sample2_R1.fastq.gz	35,000,000,000	51845d324465a7970fe86aded7aa0b85	-
Sample2_R2.fastq.gz	35,000,000,000	70db94a3cbeb9beb87aa423e99fd13d5	-
Sample2_sorted.bam	59,000,000,000	315804d256420cbc9d6c4325d427fd64	-
Sample2_sorted.bam.bai	7,000,000	e62fa8ce58ac837f1cdf78ba6bf412c6	-
Sample2_sorted.genome.vcf.gz	507,000,000	f9d938ee6690880f3fbbe204b2124a9e	-
Sample2_sorted.genome.vcf.gz.tbi	617,000	e946d2ccbd35ae2d1623796c54efd3b7	-
Sample3_analysis_result.zip	777,000,000	4f652d24251c61e63893367b57b0b77b	-
Sample3_R1.fastq.gz	34,000,000,000	4d2a428c544013459786e6ea7036d7bb	-
Sample3_R2.fastq.gz	34,000,000,000	7c7b2fa89989fde604c8ad0d77783299	-
Sample3_sorted.bam	58,000,000,000	ae3cda8da05e90355f09fd525060bf1c	-
Sample3_sorted.bam.bai	7,000,000	ed9e7ebd4d8f1f1cb2d028a4c1867f5d	-
Sample3_sorted.genome.vcf.gz	501,000,000	a7f99360879fe99796663a8f6739e7df	-
Sample3_sorted.genome.vcf.gz.tbi	616,000	6600f70ac29b76fcaa345bb0db93fa3f	-
