File	Size	md5sum	Download_link
Sample1_1.fastq.gz	704M	a6ae35971d3d02a6afe67016808b1fc8	-
Sample1_2.fastq.gz	733M	20f7b337a1082a9b0f4a8fd46a792828	-
Sample1_trim_1.fastq.gz	665M	4652a2a773f75c5461c66ef097cae99e	-
Sample1_trim_2.fastq.gz	693M	49695ce0e99f6f06492b5913e69dca3a	-
Sample2_1.fastq.gz	744M	94cbe8ba0323f3f3ef80c89810cbcbc6	-
Sample2_2.fastq.gz	775M	0363b353b6539b5c4898cc9247a7b6b5	-
Sample2_trim_1.fastq.gz	701M	04940b83c116843c86d6e80fa3a6a896	-
Sample2_trim_2.fastq.gz	728M	902ece59af77737b682614de107919b2	-
Sample3_1.fastq.gz	736M	1f2465c38d0e1cf8ab3d45901ce107da	-
Sample3_2.fastq.gz	770M	03e125d105f1f3a6cc272744243b9648	-
Sample3_trim_1.fastq.gz	691M	55057326db86f9bc404d5745ca59f0c5	-
Sample3_trim_2.fastq.gz	720M	03c04db4ebcf522c51eb215d16f68693	-
Sample1_Analysis_Result.zip	1009M	7a43852ad9f66e58ea12e62ed315e7e6	-
Sample2_Analysis_Result.zip	1.1G	2d167959c63409277f2f7bcf0821d805	-
Sample3_Analysis_Result.zip	1.1G	6d715cc38b6effcc70f99c0830d4f5e5	-
HN00000000_Additional_Ananlysis.zip	65K	0c5bf8a06908a20e42d314cae736393d	-
